Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Delta Electronics Inc,35.627.792,Taiwan,Industrial,Aandelen,35627792
Delta Electronics Thailand PCL,10.630.724,Thailand,Industrial,Aandelen,10630724
Demant A/S,286.343,Denemarken,"Consumer, non-cyclical",Aandelen,286343
Denso Corp,5.754.205,Japan,"Consumer, cyclical",Aandelen,5754205
Descartes Systems Group Inc/The,4.423.166,Canada,Technology,Aandelen,4423166
Deuce Finco Plc,1.438.062,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,1438062
Deutsche Bahn AG,37.369.253,Duitsland,Industrial,Bedrijfsobligaties,37369253
Deutsche Bank AG,28.122.575,Duitsland,Financial,Bedrijfsobligaties,28122575
Deutsche Bank AG,6.349.373,Duitsland,Financial,Aandelen,6349373
Deutsche Boerse AG,46.448.168,Duitsland,Financial,Bedrijfsobligaties,46448168
Deutsche Boerse AG,19.742.235,Duitsland,Financial,Aandelen,19742235
Deutsche Lufthansa AG,5.319.839,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,5319839
Deutsche Lufthansa AG,577.299,Duitsland,"Consumer, cyclical",Aandelen,577299
Deutsche Post AG,5.829.493,Duitsland,Industrial,Aandelen,5829493
Deutsche Telekom AG,29.075.043,Duitsland,Communications,Aandelen,29075043
Deutsche Telekom AG,12.651.133,Duitsland,Communications,Bedrijfsobligaties,12651133
DexCom Inc,9.784.417,Verenigde Staten,"Consumer, non-cyclical",Aandelen,9784417
DH Europe Finance II Sarl,31.473.167,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,31473167
Diageo Capital BV,6.741.657,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,6741657
Diageo Finance PLC,18.692.577,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,18692577
Diageo PLC,4.823.702,Verenigd Koninkrijk,"Consumer, non-cyclical",Aandelen,4823702
Dick's Sporting Goods Inc,2.130.215,Verenigde Staten,"Consumer, cyclical",Aandelen,2130215
Digital Dutch Finco BV,22.273.583,Verenigde Staten,Financial,Bedrijfsobligaties,22273583
Digital Euro Finco LLC,5.387.498,Verenigde Staten,Financial,Bedrijfsobligaties,5387498
Digital Intrepid Holding BV,10.399.561,Verenigde Staten,Financial,Bedrijfsobligaties,10399561
Dino Polska SA,2.507.661,Polen,"Consumer, non-cyclical",Aandelen,2507661
Disco Corp,8.786.586,Japan,Technology,Aandelen,8786586
Discovery Communications LLC,5.634.133,Verenigde Staten,Communications,Bedrijfsobligaties,5634133
Discovery Ltd,4.301.412,Zuid-Africa,Financial,Aandelen,4301412
Divi's Laboratories Ltd,4.282.929,India,"Consumer, non-cyclical",Aandelen,4282929
Dixon Technologies India Ltd,2.244.220,India,Industrial,Aandelen,2244220
DNB Bank ASA,36.352.993,Noorwegen,Financial,Bedrijfsobligaties,36352993
DNB Bank ASA,3.258.560,Noorwegen,Financial,Aandelen,3258560
Dollar Tree Inc,4.393.326,Verenigde Staten,"Consumer, cyclical",Aandelen,4393326
Dometic Group AB,3.053.792,Zweden,"Consumer, cyclical",Bedrijfsobligaties,3053792
DoorDash Inc,10.709.101,Verenigde Staten,Communications,Aandelen,10709101
Doosan Enerbility Co Ltd,14.899.259,Zuid-Korea,Industrial,Aandelen,14899259
Dover Corp,34.084.989,Verenigde Staten,Industrial,Bedrijfsobligaties,34084989
Dover Corp,5.615.052,Verenigde Staten,Industrial,Aandelen,5615052
DR Horton Inc,17.409.028,Verenigde Staten,"Consumer, cyclical",Aandelen,17409028
Dr Ing hc F Porsche AG,592.337,Duitsland,"Consumer, cyclical",Aandelen,592337
Dr Reddy's Laboratories Ltd,4.102.639,India,"Consumer, non-cyclical",Aandelen,4102639
Dr Sulaiman Al Habib Medical Services Group Co,3.310.807,Saoedi-Arabië,"Consumer, non-cyclical",Aandelen,3310807
DSM BV,9.959.890,Nederland,Basic materials,Bedrijfsobligaties,9959890
DSV A/S,5.677.799,Denemarken,Industrial,Aandelen,5677799
DSV A/S,3.522.705,Denemarken,Industrial,Bedrijfsobligaties,3522705
DSV Panalpina Finance BV,20.619.787,Denemarken,Industrial,Bedrijfsobligaties,20619787
DTE Energy Co,5.950.324,Verenigde Staten,Utilities,Aandelen,5950324
Dufry One BV,35.058.257,Zwitserland,"Consumer, cyclical",Bedrijfsobligaties,35058257
Duke Energy Corp,20.115.575,Verenigde Staten,Utilities,Aandelen,20115575
DXC Capital Funding DAC,7.299.286,Verenigde Staten,Technology,Bedrijfsobligaties,7299286
Dye & Durham Ltd,2.994.353,Canada,Technology,Bedrijfsobligaties,2994353
Dynamo Newco II GmbH,3.130.241,Duitsland,Industrial,Bedrijfsobligaties,3130241
E Ink Holdings Inc,1.389.611,Taiwan,Industrial,Aandelen,1389611
E.ON SE,5.784.412,Duitsland,Utilities,Aandelen,5784412
E.ON SE,8.388.872,Duitsland,Utilities,Bedrijfsobligaties,8388872
E.Sun Financial Holding Co Ltd,7.900.300,Taiwan,Financial,Aandelen,7900300
East Japan Railway Co,5.153.611,Japan,Industrial,Aandelen,5153611
East Japan Railway Co,4.552.434,Japan,Industrial,Bedrijfsobligaties,4552434
East Money Information Co Ltd,1.526.692,China,Communications,Aandelen,1526692
easyJet FinCo BV,9.691.640,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,9691640
easyJet PLC,3.392.837,Verenigd Koninkrijk,"Consumer, cyclical",Bedrijfsobligaties,3392837
Eaton Capital ULC,19.525.679,Verenigde Staten,Industrial,Bedrijfsobligaties,19525679
Eaton Corp PLC,37.715.218,Verenigde Staten,Industrial,Aandelen,37715218
eBay Inc,8.250.258,Verenigde Staten,Communications,Aandelen,8250258
EC Finance PLC,1.939.705,Verenigd Koninkrijk,"Consumer, non-cyclical",Bedrijfsobligaties,1939705
Ecolab Inc,40.771.109,Verenigde Staten,Basic materials,Aandelen,40771109
Ecovacs Robotics Co Ltd,180.922,China,"Consumer, cyclical",Aandelen,180922
Edenred SE,12.946.862,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,12946862
Edgewell Personal Care Co,6.832.863,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,6832863
Edison International,5.500.822,Verenigde Staten,Utilities,Aandelen,5500822
EDP Finance BV,8.288.468,Portugal,Utilities,Bedrijfsobligaties,8288468
EDP Renovaveis SA,576.623,Spanje,Utilities,Aandelen,576623
EDP SA,75.972.903,Portugal,Utilities,Bedrijfsobligaties,75972903
EDP SA,1.907.373,Portugal,Utilities,Aandelen,1907373
EDP Servicios Financieros Espana SA,20.023.331,Portugal,Utilities,Bedrijfsobligaties,20023331
