Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamMTU Aero Engines AG,Bedrag in euro's14.209.055
BedrijfsnaamNasdaq Inc,Bedrag in euro's57.718.332
BedrijfsnaamNational Grid Electricity Transmission PLC,Bedrag in euro's17.732.299
BedrijfsnaamNational Grid North America Inc,Bedrag in euro's26.356.270
BedrijfsnaamNational Grid PLC,Bedrag in euro's32.064.046
BedrijfsnaamNationwide Building Society,Bedrag in euro's77.631.554
BedrijfsnaamNatWest Group PLC,Bedrag in euro's60.127.182
BedrijfsnaamNBN Co Ltd,Bedrag in euro's31.834.314
BedrijfsnaamNederlandse Gasunie NV,Bedrag in euro's65.600.162
BedrijfsnaamNeste Oyj,Bedrag in euro's61.175.516
BedrijfsnaamNestle Finance International Ltd,Bedrag in euro's68.797.454
BedrijfsnaamNew York Life Global Funding,Bedrag in euro's57.796.032
BedrijfsnaamNews Corp,Bedrag in euro's6.880.359
BedrijfsnaamNordea Bank Abp,Bedrag in euro's61.432.375
BedrijfsnaamNovartis Finance SA,Bedrag in euro's64.247.502
BedrijfsnaamNovo Nordisk Finance Netherlands BV,Bedrag in euro's128.053.949
BedrijfsnaamNTT Finance Corp,Bedrag in euro's40.571.542
BedrijfsnaamNykredit Realkredit AS,Bedrag in euro's82.578.290
BedrijfsnaamOP Corporate Bank plc,Bedrag in euro's46.207.024
BedrijfsnaamOrange SA,Bedrag in euro's17.071.401
BedrijfsnaamOrigin Energy Finance Ltd,Bedrag in euro's12.035.768
BedrijfsnaamPACCAR Financial Europe BV,Bedrag in euro's73.457.368
BedrijfsnaamParker-Hannifin Corp,Bedrag in euro's19.743.060
BedrijfsnaamPepsiCo Inc,Bedrag in euro's70.610.913
BedrijfsnaamPernod Ricard SA,Bedrag in euro's39.981.058
BedrijfsnaamPfizer Netherlands International Finance BV,Bedrag in euro's36.695.659
BedrijfsnaamPPG Industries Inc,Bedrag in euro's94.585.082
BedrijfsnaamProcter & Gamble Co/The,Bedrag in euro's74.650.727
BedrijfsnaamPrologis Euro Finance LLC,Bedrag in euro's58.054.813
BedrijfsnaamPrologis International Funding II SA,Bedrag in euro's25.114.966
BedrijfsnaamProximus SADP,Bedrag in euro's30.112.795
BedrijfsnaamPublicis Groupe SA,Bedrag in euro's13.984.186
BedrijfsnaamPurple Protected Asset,Bedrag in euro's5.841.064
BedrijfsnaamRaiffeisen Schweiz Genossenschaft,Bedrag in euro's42.866.475
BedrijfsnaamRandstad NV,Bedrag in euro's15.861.573
BedrijfsnaamReckitt Benckiser Treasury Services Nederland BV,Bedrag in euro's21.142.402
BedrijfsnaamReckitt Benckiser Treasury Services PLC,Bedrag in euro's45.166.767
BedrijfsnaamRELX Finance BV,Bedrag in euro's27.228.715
BedrijfsnaamRentokil Initial PLC,Bedrag in euro's4.125.020
BedrijfsnaamRepsol International Finance BV,Bedrag in euro's1.959.770
BedrijfsnaamRoche Finance Europe BV,Bedrag in euro's52.734.964
BedrijfsnaamRoyal Bank of Canada,Bedrag in euro's96.908.735
BedrijfsnaamRoyal Caribbean Cruises Ltd,Bedrag in euro's7.344.734
BedrijfsnaamRoyal Schiphol Group NV,Bedrag in euro's47.046.967
BedrijfsnaamRTE Reseau de Transport d'Electricite SADIR,Bedrag in euro's64.714.838
BedrijfsnaamRWE AG,Bedrag in euro's24.059.468
BedrijfsnaamSage Group PLC/The,Bedrag in euro's29.904.093
BedrijfsnaamSandoz Finance BV,Bedrag in euro's26.084.026
BedrijfsnaamSandvik AB,Bedrag in euro's20.218.872
BedrijfsnaamSanofi SA,Bedrag in euro's95.519.055
BedrijfsnaamSantander UK Group Holdings PLC,Bedrag in euro's15.329.520
BedrijfsnaamSartorius Finance BV,Bedrag in euro's94.069.125
BedrijfsnaamScentre Group Trust 1 / Scentre Group Trust 2,Bedrag in euro's19.738.152
BedrijfsnaamScottish Hydro Electric Transmission PLC,Bedrag in euro's28.112.578
BedrijfsnaamSES SA,Bedrag in euro's42.569.075
BedrijfsnaamSGS Nederland Holding BV,Bedrag in euro's20.559.409
BedrijfsnaamShell International Finance BV,Bedrag in euro's111.211.711
BedrijfsnaamSiemens Financieringsmaatschappij NV,Bedrag in euro's84.929.967
BedrijfsnaamSika Capital BV,Bedrag in euro's95.958.677
BedrijfsnaamSilfin NV,Bedrag in euro's15.173.326
BedrijfsnaamSkandinaviska Enskilda Banken AB,Bedrag in euro's39.057.932
BedrijfsnaamSmurfit Kappa Treasury ULC,Bedrag in euro's13.748.705
BedrijfsnaamSnam SpA,Bedrag in euro's43.154.989
BedrijfsnaamSociete Generale SA,Bedrag in euro's33.911.961
BedrijfsnaamSpareBank 1 Sor-Norge ASA,Bedrag in euro's15.304.452
BedrijfsnaamSprint Capital Corp,Bedrag in euro's5.027.628
BedrijfsnaamSSE PLC,Bedrag in euro's4.200.211
